dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,2.642943,23.961323,0.000094,0.018717,1.871658,187.165775,6.269926
0.010000,2.642960,23.961323,0.000111,0.001717,-1.699919,-357.157723,6.269909
0.010000,2.642998,23.961322,0.000149,0.003865,0.214732,191.465133,6.269870
0.010000,2.643067,23.961321,0.000218,0.006873,0.300790,8.605782,6.269801
0.010000,2.643170,23.961320,0.000321,0.010314,0.344114,4.332479,6.269698
0.010000,2.643308,23.961318,0.000459,0.013761,0.344697,0.058216,6.269561
0.010000,2.643480,23.961316,0.000631,0.017215,0.345474,0.077736,6.269389
0.010000,2.643687,23.961313,0.000838,0.020680,0.346448,0.097353,6.269182
0.010000,2.643928,23.961309,0.001079,0.024156,0.347618,0.117092,6.268940
0.010000,2.648569,23.961242,0.005720,0.464110,43.995390,4364.777147,6.268663
0.010000,2.655622,23.961139,0.012775,0.705414,24.130353,-1986.503719,6.268351
0.010000,2.663451,23.961021,0.020605,0.783012,7.759854,-1637.049918,6.268004
0.010000,2.672068,23.960889,0.029223,0.861784,7.877202,11.734862,6.267620
0.010000,2.681476,23.960740,0.038631,0.940884,7.909941,3.273920,6.267200
0.010000,2.691654,23.960575,0.048811,1.017949,7.706536,-20.340558,6.266744
0.010000,2.702637,23.960392,0.059796,1.098482,8.053318,34.678247,6.266250
0.010000,2.714390,23.960190,0.071550,1.175390,7.690842,-36.247639,6.265718
0.010000,2.726943,23.959967,0.084106,1.255593,8.020228,32.938663,6.265148
0.010000,2.740266,23.959723,0.097430,1.332484,7.689121,-33.110719,6.264540
0.010000,2.754398,23.959455,0.111565,1.413432,8.094838,40.571715,6.263892
0.010000,2.769304,23.959162,0.126474,1.490919,7.748618,-34.622011,6.263205
0.010000,2.785000,23.958843,0.142173,1.569894,7.897527,14.890856,6.262476
0.010000,2.801494,23.958495,0.158671,1.649774,7.988048,9.052116,6.261706
0.010000,2.818771,23.958116,0.175952,1.728108,7.833368,-15.468039,6.260894
0.010000,2.836834,23.957706,0.194019,1.806776,7.866838,3.347078,6.260040
0.010000,2.855698,23.957261,0.212889,1.886921,8.014464,14.762507,6.259140
0.010000,2.875357,23.956779,0.232553,1.966448,7.952687,-6.177606,6.258196
0.010000,2.895806,23.956258,0.253010,2.045651,7.920269,-3.241813,6.257207
0.010000,2.917050,23.955695,0.274260,2.125082,7.943149,2.287959,6.256170
0.010000,2.939089,23.955087,0.296308,2.204715,7.963297,2.014851,6.255085
0.010000,2.961924,23.954432,0.319153,2.284521,7.980645,1.734782,6.253951
0.010000,2.985559,23.953727,0.342798,2.364473,7.995123,1.447814,6.252766
0.010000,3.009992,23.952969,0.367243,2.444539,8.006664,1.154026,6.251530
0.010000,3.035226,23.952153,0.392490,2.524691,8.015199,0.853517,6.250239
0.010000,3.061260,23.951278,0.418539,2.604898,8.020663,0.546404,6.248894
0.010000,3.088095,23.950338,0.445390,2.685128,8.022991,0.232826,6.247493
0.010000,3.115741,23.949331,0.473054,2.766422,8.129407,10.641564,6.246033
0.010000,3.144198,23.948252,0.501532,2.847737,8.131514,0.210713,6.244513
0.010000,3.173457,23.947096,0.530814,2.928182,8.044512,-8.700151,6.242931
0.010000,3.203519,23.945861,0.560901,3.008705,8.052247,0.773440,6.241285
0.010000,3.234410,23.944539,0.591820,3.091984,8.327897,27.565029,6.239572
0.010000,3.266102,23.943128,0.623544,3.172344,8.036050,-29.184669,6.237791
0.010000,3.298618,23.941621,0.656094,3.255051,8.270656,23.460539,6.235938
0.010000,3.331946,23.940013,0.689462,3.336736,8.168559,-10.209642,6.234012
0.010000,3.366102,23.938298,0.723660,3.419869,8.313282,14.472295,6.232009
0.010000,3.401068,23.936470,0.758675,3.501413,8.154375,-15.890761,6.229928
0.010000,3.436879,23.934523,0.794538,3.586364,8.495139,34.076425,6.227762
0.010000,3.473509,23.932449,0.831227,3.668893,8.252840,-24.229898,6.225511
0.010000,3.510966,23.930243,0.868749,3.752149,8.325649,7.280874,6.223171
0.010000,3.549265,23.927895,0.907119,3.837079,8.493003,16.735410,6.220737
0.010000,3.588405,23.925398,0.946339,3.921983,8.490368,-0.263485,6.218206
0.010000,3.628385,23.922743,0.986407,4.006806,8.482309,-0.805852,6.215572
0.010000,3.669210,23.919923,1.027330,4.092225,8.541904,5.959495,6.212832
0.010000,3.710885,23.916927,1.069112,4.178205,8.598002,5.609735,6.209980
0.010000,3.753413,23.913745,1.111759,4.264710,8.650453,5.245079,6.207011
0.010000,3.796798,23.910366,1.155276,4.351701,8.699116,4.866334,6.203920
0.010000,3.841045,23.906780,1.199667,4.439139,8.743861,4.474530,6.200700
0.010000,3.886171,23.902973,1.244953,4.528632,8.949307,20.544557,6.197344
0.010000,3.932170,23.898934,1.291130,4.617629,8.899712,-4.959504,6.193844
0.010000,3.979041,23.894650,1.338196,4.706649,8.901998,0.228586,6.190195
0.010000,4.026808,23.890103,1.386179,4.798301,9.165140,26.314292,6.186387
0.010000,4.075465,23.885282,1.435074,4.889458,9.115705,-4.943509,6.182410
0.010000,4.125026,23.880166,1.484898,4.982465,9.300692,18.498688,6.178256
