dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,2.629684,22.961411,0.000094,0.018717,1.871658,187.165775,6.269926
0.010000,2.629684,22.961411,0.000468,0.056150,3.743316,187.165775,6.269909
0.010000,2.629684,22.961411,0.001310,0.112299,5.614973,187.165775,6.269870
0.010000,2.629684,22.961411,0.002807,0.187166,7.486631,187.165775,6.269801
0.010000,2.629684,22.961411,0.005053,0.262032,7.486631,0.000000,6.269698
0.010000,2.629684,22.961411,0.008048,0.336898,7.486631,0.000000,6.269561
0.010000,2.629684,22.961411,0.011791,0.411765,7.486631,-0.000000,6.269389
0.010000,2.629684,22.961411,0.016283,0.486631,7.486631,0.000000,6.269182
0.010000,2.629684,22.961411,0.021524,0.561497,7.486631,0.000000,6.268940
0.010000,2.634047,22.961348,0.027513,0.636364,7.486631,-0.000000,6.268663
0.010000,2.640789,22.961249,0.034251,0.711230,7.486631,0.000000,6.268351
0.010000,2.648271,22.961137,0.041738,0.786096,7.486631,-0.000000,6.268004
0.010000,2.656504,22.961010,0.049973,0.860963,7.486631,0.000000,6.267620
0.010000,2.665492,22.960868,0.058957,0.935829,7.486631,0.000000,6.267200
0.010000,2.675213,22.960711,0.068690,1.010695,7.486631,-0.000000,6.266744
0.010000,2.685703,22.960536,0.079171,1.085561,7.486631,0.000000,6.266250
0.010000,2.696924,22.960343,0.090401,1.160428,7.486631,-0.000000,6.265718
0.010000,2.708908,22.960130,0.102380,1.235294,7.486631,0.000000,6.265148
0.010000,2.721622,22.959897,0.115107,1.310160,7.486631,-0.000000,6.264540
0.010000,2.735106,22.959641,0.128583,1.385027,7.486631,0.000000,6.263892
0.010000,2.749325,22.959362,0.142807,1.459893,7.486631,-0.000000,6.263205
0.010000,2.764292,22.959057,0.157781,1.534759,7.486631,0.000000,6.262476
0.010000,2.780016,22.958725,0.173503,1.609626,7.486631,0.000000,6.261706
0.010000,2.796482,22.958365,0.189973,1.684492,7.486631,-0.000000,6.260894
0.010000,2.813690,22.957974,0.207193,1.759358,7.486631,0.000000,6.260040
0.010000,2.831655,22.957550,0.225160,1.834225,7.486631,0.000000,6.259140
0.010000,2.850370,22.957091,0.243877,1.909091,7.486631,-0.000000,6.258196
0.010000,2.869831,22.956595,0.263342,1.983957,7.486631,0.000000,6.257207
0.010000,2.890038,22.956059,0.283556,2.058824,7.486631,-0.000000,6.256170
0.010000,2.910992,22.955482,0.304519,2.133690,7.486631,-0.000000,6.255085
0.010000,2.932694,22.954860,0.326230,2.208556,7.486631,0.000000,6.253951
0.010000,2.955144,22.954190,0.348690,2.283422,7.486631,0.000000,6.252766
0.010000,2.978342,22.953470,0.371898,2.358289,7.486631,-0.000000,6.251530
0.010000,3.002286,22.952696,0.395856,2.433155,7.486631,0.000000,6.250239
0.010000,3.026976,22.951866,0.420561,2.508021,7.486631,0.000000,6.248894
0.010000,3.052410,22.950975,0.446016,2.582888,7.486631,0.000000,6.247493
0.010000,3.078597,22.950021,0.472219,2.657754,7.486631,0.000000,6.246033
0.010000,3.105535,22.948999,0.499171,2.732620,7.486631,-0.000000,6.244513
0.010000,3.133213,22.947907,0.526872,2.807487,7.486631,0.000000,6.242931
0.010000,3.161630,22.946739,0.555321,2.882353,7.486631,-0.000000,6.241285
0.010000,3.190810,22.945490,0.584519,2.957219,7.486631,0.000000,6.239572
0.010000,3.220723,22.944158,0.614465,3.032086,7.486631,-0.000000,6.237791
0.010000,3.251388,22.942737,0.645160,3.106952,7.486631,0.000000,6.235938
0.010000,3.282793,22.941222,0.676604,3.181818,7.486631,0.000000,6.234012
0.010000,3.314948,22.939607,0.708797,3.256684,7.486631,0.000000,6.232009
0.010000,3.347836,22.937888,0.741738,3.331551,7.486631,-0.000000,6.229928
0.010000,3.381484,22.936058,0.775428,3.406417,7.486631,0.000000,6.227762
0.010000,3.415867,22.934112,0.809866,3.481283,7.486631,0.000000,6.225511
0.010000,3.450988,22.932043,0.845053,3.556150,7.486631,0.000000,6.223171
0.010000,3.486857,22.929844,0.880989,3.631016,7.486631,-0.000000,6.220737
0.010000,3.523471,22.927508,0.917674,3.705882,7.486631,0.000000,6.218206
0.010000,3.560823,22.925028,0.955107,3.780749,7.486631,0.000000,6.215572
0.010000,3.598915,22.922397,0.993289,3.855615,7.486631,-0.000000,6.212832
0.010000,3.637745,22.919605,1.032219,3.930481,7.486631,0.000000,6.209980
0.010000,3.677313,22.916644,1.071898,4.005348,7.486631,-0.000000,6.207011
0.010000,3.717616,22.913506,1.112326,4.080214,7.486631,0.000000,6.203920
0.010000,3.758653,22.910180,1.153503,4.155080,7.486631,0.000000,6.200700
0.010000,3.800434,22.906655,1.195428,4.229947,7.486631,-0.000000,6.197344
0.010000,3.842948,22.902922,1.238102,4.304813,7.486631,0.000000,6.193844
0.010000,3.886185,22.898970,1.281524,4.379679,7.486631,-0.000000,6.190195
0.010000,3.930161,22.894785,1.325695,4.454545,7.486631,0.000000,6.186387
0.010000,3.974860,22.890355,1.370615,4.529412,7.486631,0.000000,6.182410
0.010000,4.020289,22.885666,1.416283,4.604278,7.486631,-0.000000,6.178256
0.010000,4.066433,22.880706,1.462701,4.679144,7.486631,0.000000,6.173914
