dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,2.616425,21.961499,0.000094,0.018717,1.871658,187.165775,6.269926
0.010000,2.616407,21.961499,0.000111,0.001717,-1.699919,-357.157723,6.269909
0.010000,2.616369,21.961499,0.000149,0.003865,0.214732,191.465133,6.269870
0.010000,2.616300,21.961500,0.000218,0.006873,0.300790,8.605782,6.269801
0.010000,2.616197,21.961502,0.000321,0.010314,0.344114,4.332479,6.269698
0.010000,2.616059,21.961504,0.000459,0.013761,0.344697,0.058216,6.269561
0.010000,2.615887,21.961506,0.000631,0.017215,0.345474,0.077736,6.269389
0.010000,2.615680,21.961509,0.000838,0.020680,0.346448,0.097353,6.269182
0.010000,2.615439,21.961512,0.001079,0.024156,0.347618,0.117092,6.268940
0.010000,2.619526,21.961453,0.005167,0.408744,38.458826,3811.120719,6.268663
0.010000,2.625955,21.961359,0.011597,0.642996,23.425180,-1503.364529,6.268351
0.010000,2.633090,21.961252,0.018732,0.713535,7.053876,-1637.130460,6.268004
0.010000,2.640940,21.961131,0.026583,0.785081,7.154602,10.072589,6.267620
0.010000,2.649507,21.960996,0.035152,0.856856,7.177476,2.287416,6.267200
0.010000,2.658773,21.960846,0.044419,0.926702,6.984669,-19.280662,6.266744
0.010000,2.668768,21.960679,0.054415,0.999623,7.292014,30.734484,6.266250
0.010000,2.679458,21.960495,0.065106,1.069153,6.953084,-33.893017,6.265718
0.010000,2.690872,21.960292,0.076522,1.141582,7.242882,28.979828,6.265148
0.010000,2.702979,21.960070,0.088631,1.210895,6.931252,-31.163009,6.264540
0.010000,2.715814,21.959827,0.101469,1.283780,7.288497,35.724500,6.263892
0.010000,2.729345,21.959561,0.115003,1.353397,6.961708,-32.678919,6.263205
0.010000,2.743585,21.959271,0.129245,1.424235,7.083837,12.212872,6.262476
0.010000,2.758539,21.958956,0.144203,1.495753,7.151821,6.798433,6.261706
0.010000,2.774192,21.958613,0.159860,1.565719,6.996558,-15.526310,6.260894
0.010000,2.790547,21.958242,0.176218,1.635829,7.010997,1.443947,6.260040
0.010000,2.807613,21.957839,0.193289,1.707105,7.127576,11.657873,6.259140
0.010000,2.825384,21.957403,0.211066,1.777639,7.053447,-7.412914,6.258196
0.010000,2.843855,21.956932,0.229543,1.847688,7.004879,-4.856783,6.257207
0.010000,2.863025,21.956424,0.248720,1.917739,7.005123,0.024370,6.256170
0.010000,2.882895,21.955877,0.268597,1.987755,7.001604,-0.351821,6.255085
0.010000,2.903464,21.955287,0.289174,2.057697,6.994204,-0.740026,6.253951
0.010000,2.924730,21.954652,0.310450,2.127525,6.982799,-1.140487,6.252766
0.010000,2.946691,21.953971,0.332422,2.197198,6.967265,-1.553453,6.251530
0.010000,2.969346,21.953239,0.355088,2.266673,6.947473,-1.979176,6.250239
0.010000,2.992692,21.952453,0.378447,2.335906,6.923294,-2.417912,6.248894
0.010000,3.016726,21.951612,0.402496,2.404851,6.894595,-2.869923,6.247493
0.010000,3.041454,21.950711,0.427240,2.474423,6.957138,6.254285,6.246033
0.010000,3.066872,21.949747,0.452677,2.543664,6.924153,-3.298428,6.244513
0.010000,3.092969,21.948717,0.478794,2.611761,6.809701,-11.445219,6.242931
0.010000,3.119742,21.947616,0.505590,2.679540,6.777875,-3.182596,6.241285
0.010000,3.147210,21.946441,0.533083,2.749358,6.981783,20.390836,6.239572
0.010000,3.175344,21.945188,0.561245,2.816141,6.678286,-30.349779,6.237791
0.010000,3.204158,21.943853,0.590090,2.884542,6.840077,16.179105,6.235938
0.010000,3.233640,21.942430,0.619606,2.951542,6.700058,-14.001842,6.234012
0.010000,3.263795,21.940916,0.649799,3.019297,6.775452,7.539327,6.232009
0.010000,3.294603,21.939306,0.680650,3.085091,6.579407,-19.604496,6.229928
0.010000,3.326090,21.937594,0.712182,3.153291,6.820004,24.059768,6.227762
0.010000,3.358226,21.935775,0.744370,3.218725,6.543383,-27.662105,6.225511
0.010000,3.391010,21.933843,0.777211,3.284127,6.540247,-0.313632,6.223171
0.010000,3.424450,21.931793,0.810714,3.350275,6.614776,7.452927,6.220737
0.010000,3.458537,21.929619,0.844870,3.415629,6.535440,-7.933641,6.218206
0.010000,3.493261,21.927313,0.879671,3.480094,6.446504,-8.893624,6.215572
0.010000,3.528619,21.924871,0.915113,3.544203,6.410876,-3.562785,6.212832
0.010000,3.564605,21.922283,0.951192,3.607862,6.365933,-4.494247,6.209980
0.010000,3.601212,21.919544,0.987901,3.670973,6.311090,-5.484294,6.207011
0.010000,3.638434,21.916646,1.025236,3.733431,6.245731,-6.535973,6.203920
0.010000,3.676261,21.913580,1.063187,3.795123,6.169206,-7.652491,6.200700
0.010000,3.714698,21.910338,1.101760,3.857331,6.220882,5.167601,6.197344
0.010000,3.753726,21.906911,1.140938,3.917784,6.045299,-17.558260,6.193844
0.010000,3.793329,21.903291,1.180706,3.976832,5.904755,-14.054397,6.190195
0.010000,3.833513,21.899466,1.221072,4.036562,5.972993,6.823807,6.186387
0.010000,3.874255,21.895429,1.262014,4.094211,5.764940,-20.805340,6.182410
0.010000,3.915552,21.891167,1.303530,4.151614,5.740313,-2.462673,6.178256
0.010000,3.957379,21.886670,1.345598,4.206793,5.517882,-22.243081,6.173914
0.010000,3.999744,21.881925,1.388228,4.262987,5.619415,10.153297,6.169371
0.010000,4.042614,21.876922,1.431389,4.316076,5.308864,-31.055112,6.164617
0.010000,4.085976,21.871648,1.475070,4.368139,5.206282,-10.258257,6.159636
0.010000,4.129814,21.866089,1.519260,4.418937,5.079845,-12.643613,6.154415
0.010000,4.174110,21.860230,1.563942,4.468210,4.927296,-15.254948,6.148937
0.010000,4.218843,21.854058,1.609098,4.515672,4.746189,-18.110714,6.143183
0.010000,4.263988,21.847558,1.654708,4.561011,4.533881,-21.230767,6.137135
0.010000,4.309515,21.840714,1.700747,4.603886,4.287517,-24.636457,6.130772
0.010000,4.355406,21.833509,1.747200,4.645268,4.138223,-14.929328,6.124068
0.010000,4.401623,21.825926,1.794035,4.683512,3.824382,-31.384167,6.116999
0.010000,4.448131,21.817947,1.841223,4.718783,3.527104,-29.727797,6.109534
0.010000,4.494889,21.809557,1.888727,4.750435,3.165175,-36.192843,6.101644
0.010000,4.541867,21.800732,1.936527,4.779971,2.953560,-21.161474,6.093289
0.010000,4.589006,21.791457,1.984570,4.804251,2.427999,-52.556170,6.084433
0.010000,4.636253,21.781711,2.032812,4.824229,1.997806,-43.019239,6.075029
0.010000,4.683550,21.771477,2.081203,4.839115,1.488633,-50.917324,6.065028
0.010000,4.730837,21.760732,2.129696,4.849254,1.013851,-47.478174,6.054373
0.010000,4.778032,21.749461,2.178218,4.852209,0.295528,-71.832339,6.043002
0.010000,4.825051,21.737645,2.226699,4.848169,-0.404023,-69.955058,6.030842
0.010000,4.871799,21.725270,2.275057,4.835743,-1.242590,-83.856727,6.017814
0.010000,4.918172,21.712323,2.323203,4.814650,-2.109278,-86.668864,6.003824
0.010000,4.964050,21.698792,2.371035,4.783178,-3.147195,-103.791658,5.988765
0.010000,5.009293,21.684677,2.418429,4.739392,-4.378568,-123.137285,5.972520
0.010000,5.053738,21.669982,2.465240,4.681122,-5.827072,-144.850441,5.954952
0.010000,5.097221,21.654718,2.511325,4.608446,-7.267522,-144.044938,5.935899
0.010000,5.139532,21.638914,2.556491,4.516602,-9.184461,-191.693928,5.915184
0.010000,5.180446,21.622617,2.600531,4.404027,-11.257463,-207.300154,5.892597
