dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.626454,14.458947,0.000094,0.018706,1.870567,187.056696,6.280272
0.010000,1.626342,14.458947,0.000206,0.011257,-0.744861,-261.542785,6.280384
0.010000,1.626089,14.458948,0.000459,0.025319,1.406171,215.103164,6.280637
0.010000,1.625639,14.458949,0.000909,0.044978,1.965950,55.977934,6.281087
0.010000,1.624965,14.458950,0.001583,0.067389,2.241027,27.507719,6.281761
0.010000,1.624068,14.458951,0.002480,0.089704,2.231574,-0.945330,6.282658
0.010000,1.624928,14.458951,0.003340,0.086024,-0.368005,-259.957898,0.000591
0.010000,1.628079,14.458955,0.006491,0.315052,22.902785,2327.078986,0.001930
0.010000,1.631760,14.458965,0.010173,0.368190,5.313758,-1758.902661,0.003486
0.010000,1.635975,14.458984,0.014388,0.421503,5.331315,1.755654,0.005257
0.010000,1.640726,14.459013,0.019139,0.475104,5.360144,2.882876,0.007239
0.010000,1.646018,14.459057,0.024430,0.529140,5.403533,4.338951,0.009430
0.010000,1.651852,14.459119,0.030265,0.583495,5.435524,3.199104,0.011827
0.010000,1.658234,14.459203,0.036647,0.638212,5.471753,3.622916,0.014424
0.010000,1.665166,14.459313,0.043581,0.693340,5.512802,4.104834,0.017217
0.010000,1.672655,14.459453,0.051070,0.748965,5.562480,4.967802,0.020203
0.010000,1.680703,14.459628,0.059121,0.805046,5.608116,4.563657,0.023375
0.010000,1.689317,14.459844,0.067738,0.861692,5.664598,5.648211,0.026729
0.010000,1.698503,14.460106,0.076927,0.918928,5.723617,5.901863,0.030260
0.010000,1.708266,14.460420,0.086695,0.976780,5.785189,6.157246,0.033961
0.010000,1.718609,14.460791,0.097044,1.034953,5.817277,3.208798,0.037826
0.010000,1.729541,14.461227,0.107986,1.094134,5.918135,10.085716,0.041851
0.010000,1.741066,14.461734,0.119522,1.153593,5.945870,2.773573,0.046026
0.010000,1.753192,14.462319,0.131662,1.214038,6.044494,9.862415,0.050348
0.010000,1.765925,14.462989,0.144412,1.274985,6.094722,5.022778,0.054807
0.010000,1.779269,14.463752,0.157778,1.336608,6.162280,6.755744,0.059398
0.010000,1.793233,14.464615,0.171768,1.399054,6.244548,8.226845,0.064113
0.010000,1.807822,14.465587,0.186390,1.462200,6.314648,7.009984,0.068945
0.010000,1.823044,14.466677,0.201651,1.526072,6.387175,7.252664,0.073886
0.010000,1.838905,14.467891,0.217558,1.590691,6.461952,7.477712,0.078930
0.010000,1.855411,14.469239,0.234119,1.656079,6.538799,7.684700,0.084067
0.010000,1.872568,14.470730,0.251341,1.722255,6.617531,7.873252,0.089292
0.010000,1.890384,14.472373,0.269233,1.789141,6.688650,7.111870,0.094596
0.010000,1.908864,14.474177,0.287800,1.856707,6.756593,6.794354,0.099971
0.010000,1.928015,14.476151,0.307053,1.925270,6.856270,9.967669,0.105411
