dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.623541,13.458951,0.000094,0.018706,1.870567,187.056696,6.280272
0.010000,1.623541,13.458951,0.000468,0.056117,3.741134,187.056696,6.280384
0.010000,1.623541,13.458951,0.001309,0.112234,5.611701,187.056696,6.280637
0.010000,1.623541,13.458951,0.002806,0.187057,7.482268,187.056696,6.281087
0.010000,1.623541,13.458951,0.005051,0.261879,7.482268,0.000000,6.281761
0.010000,1.623541,13.458951,0.008043,0.336702,7.482268,-0.000000,6.282658
0.010000,1.625520,13.458951,0.011785,0.411525,7.482268,0.000000,0.000591
0.010000,1.630009,13.458957,0.016274,0.486347,7.482268,0.000000,0.001930
0.010000,1.635246,13.458971,0.021512,0.561170,7.482268,0.000000,0.003486
0.010000,1.641232,13.458997,0.027497,0.635993,7.482268,0.000000,0.005257
0.010000,1.647966,13.459039,0.034231,0.710815,7.482268,-0.000000,0.007239
0.010000,1.655448,13.459102,0.041714,0.785638,7.482268,0.000000,0.009430
0.010000,1.663679,13.459189,0.049944,0.860461,7.482268,-0.000000,0.011827
0.010000,1.672657,13.459307,0.058923,0.935283,7.482268,0.000000,0.014424
0.010000,1.682383,13.459461,0.068650,1.010106,7.482268,0.000000,0.017217
0.010000,1.692856,13.459657,0.079125,1.084929,7.482268,-0.000000,0.020203
0.010000,1.704076,13.459902,0.090348,1.159752,7.482268,0.000000,0.023375
0.010000,1.716043,13.460202,0.102320,1.234574,7.482268,0.000000,0.026729
0.010000,1.728758,13.460564,0.115040,1.309397,7.482268,-0.000000,0.030260
0.010000,1.742220,13.460996,0.128508,1.384220,7.482268,0.000000,0.033961
0.010000,1.756426,13.461507,0.142724,1.459042,7.482268,-0.000000,0.037826
0.010000,1.771380,13.462103,0.157689,1.533865,7.482268,0.000000,0.041851
0.010000,1.787076,13.462793,0.173402,1.608688,7.482268,0.000000,0.046026
0.010000,1.803519,13.463586,0.189863,1.683510,7.482268,0.000000,0.050348
0.010000,1.820704,13.464490,0.207072,1.758333,7.482268,-0.000000,0.054807
0.010000,1.838632,13.465515,0.225029,1.833156,7.482268,0.000000,0.059398
0.010000,1.857302,13.466670,0.243735,1.907978,7.482268,0.000000,0.064113
0.010000,1.876713,13.467963,0.263189,1.982801,7.482268,0.000000,0.068945
0.010000,1.896863,13.469405,0.283391,2.057624,7.482268,-0.000000,0.073886
0.010000,1.917752,13.471004,0.304341,2.132446,7.482268,0.000000,0.078930
0.010000,1.939379,13.472771,0.326040,2.207269,7.482268,-0.000000,0.084067
0.010000,1.961742,13.474714,0.348487,2.282092,7.482268,0.000000,0.089292
0.010000,1.984839,13.476844,0.371682,2.356914,7.482268,0.000000,0.094596
0.010000,2.008668,13.479170,0.395625,2.431737,7.482268,0.000000,0.099971
0.010000,2.033230,13.481701,0.420316,2.506560,7.482268,-0.000000,0.105411
0.010000,2.058521,13.484448,0.445756,2.581382,7.482268,0.000000,0.110906
0.010000,2.084540,13.487419,0.471944,2.656205,7.482268,-0.000000,0.116450
0.010000,2.111284,13.490623,0.498880,2.731028,7.482268,0.000000,0.122035
0.010000,2.138754,13.494071,0.526565,2.805850,7.482268,0.000000,0.127654
0.010000,2.166945,13.497770,0.554997,2.880673,7.482268,0.000000,0.133299
0.010000,2.195855,13.501731,0.584178,2.955496,7.482268,-0.000000,0.138963
0.010000,2.225484,13.505961,0.614107,3.030318,7.482268,0.000000,0.144639
0.010000,2.255828,13.510469,0.644784,3.105141,7.482268,-0.000000,0.150320
0.010000,2.286886,13.515264,0.676210,3.179964,7.482268,0.000000,0.155998
0.010000,2.318654,13.520353,0.708384,3.254787,7.482268,-0.000000,0.161667
0.010000,2.351132,13.525744,0.741306,3.329609,7.482268,0.000000,0.167321
0.010000,2.384315,13.531446,0.774976,3.404432,7.482268,0.000000,0.172953
0.010000,2.418204,13.537464,0.809394,3.479255,7.482268,0.000000,0.178556
0.010000,2.452795,13.543807,0.844561,3.554077,7.482268,-0.000000,0.184126
0.010000,2.488083,13.550480,0.880476,3.628900,7.482268,0.000000,0.189654
0.010000,2.524070,13.557491,0.917139,3.703723,7.482268,-0.000000,0.195136
0.010000,2.560752,13.564846,0.954550,3.778545,7.482268,0.000000,0.200567
0.010000,2.598125,13.572549,0.992710,3.853368,7.482268,-0.000000,0.205941
0.010000,2.636190,13.580607,1.031618,3.928191,7.482268,0.000000,0.211252
0.010000,2.674942,13.589024,1.071274,4.003013,7.482268,-0.000000,0.216495
0.010000,2.714380,13.597806,1.111678,4.077836,7.482268,0.000000,0.221667
0.010000,2.754503,13.606956,1.152830,4.152659,7.482268,0.000000,0.226761
0.010000,2.795307,13.616479,1.194731,4.227481,7.482268,-0.000000,0.231773
0.010000,2.836790,13.626379,1.237380,4.302304,7.482268,0.000000,0.236699
0.010000,2.878952,13.636658,1.280777,4.377127,7.482268,0.000000,0.241535
0.010000,2.921791,13.647319,1.324923,4.451949,7.482268,-0.000000,0.246277
0.010000,2.965304,13.658366,1.369816,4.526772,7.482268,0.000000,0.250920
0.010000,3.009491,13.669799,1.415458,4.601595,7.482268,-0.000000,0.255460
0.010000,3.054349,13.681622,1.461848,4.676417,7.482268,0.000000,0.259894
0.010000,3.099878,13.693835,1.508986,4.751240,7.482268,-0.000000,0.264219
0.010000,3.146077,13.706439,1.556873,4.826063,7.482268,0.000000,0.268430
0.010000,3.192943,13.719434,1.605508,4.900885,7.482268,0.000000,0.272524
0.010000,3.240476,13.732821,1.654891,4.975708,7.482268,-0.000000,0.276498
0.010000,3.288677,13.746600,1.705022,5.050531,7.482268,0.000000,0.280349
0.010000,3.337544,13.760770,1.755901,5.125353,7.482268,0.000000,0.284072
0.010000,3.387075,13.775329,1.807529,5.200176,7.482268,0.000000,0.287665
0.010000,3.437274,13.790277,1.859905,5.274999,7.482268,-0.000000,0.291125
0.010000,3.488136,13.805610,1.913029,5.349821,7.482268,0.000000,0.294448
0.010000,3.539665,13.821327,1.966901,5.424644,7.482268,-0.000000,0.297630
0.010000,3.591860,13.837425,2.021522,5.499467,7.482268,0.000000,0.300670
0.010000,3.644720,13.853900,2.076890,5.574290,7.482268,0.000000,0.303562
0.010000,3.698248,13.870749,2.133008,5.649112,7.482268,-0.000000,0.306305
0.010000,3.752445,13.887967,2.189873,5.723935,7.482268,0.000000,0.308894
0.010000,3.807310,13.905550,2.247486,5.798758,7.482268,0.000000,0.311325
0.010000,3.862845,13.923491,2.305848,5.873580,7.482268,-0.000000,0.313596
0.010000,3.919053,13.941785,2.364958,5.948403,7.482268,0.000000,0.315701
0.010000,3.975934,13.960426,2.424816,6.023226,7.482268,0.000000,0.317638
0.010000,4.033492,13.979407,2.485422,6.098048,7.482268,0.000000,0.319402
0.010000,4.091728,13.998719,2.546777,6.172871,7.482268,-0.000000,0.320989
0.010000,4.150645,14.018356,2.608880,6.247694,7.482268,0.000000,0.322394
0.010000,4.210245,14.038306,2.671731,6.322516,7.482268,0.000000,0.323611
0.010000,4.270533,14.058562,2.735330,6.397339,7.482268,0.000000,0.324637
0.010000,4.331510,14.079113,2.799678,6.472162,7.482268,-0.000000,0.325465
0.010000,4.393182,14.099948,2.864773,6.546984,7.482268,0.000000,0.326090
0.010000,4.455551,14.121055,2.930617,6.621807,7.482268,-0.000000,0.326505
0.010000,4.518623,14.142421,2.997209,6.696630,7.482268,0.000000,0.326705
0.010000,4.582401,14.164032,3.064550,6.771452,7.482268,0.000000,0.326680
0.010000,4.646891,14.185875,3.132638,6.846275,7.482268,-0.000000,0.326426
0.010000,4.712098,14.207933,3.201475,6.921098,7.482268,0.000000,0.325932
0.010000,4.778028,14.230191,3.271060,6.995920,7.482268,0.000000,0.325190
0.010000,4.844686,14.252630,3.341394,7.070743,7.482268,-0.000000,0.324191
0.010000,4.912078,14.275231,3.412475,7.145566,7.482268,0.000000,0.322924
0.010000,4.980212,14.297974,3.484305,7.220388,7.482268,0.000000,0.321379
0.010000,5.049095,14.320838,3.556883,7.295211,7.482268,-0.000000,0.319544
0.010000,5.118734,14.343800,3.630209,7.370034,7.482268,0.000000,0.317405
0.010000,5.189136,14.366834,3.704284,7.444856,7.482268,0.000000,0.314948
0.010000,5.260310,14.389914,3.779106,7.519679,7.482268,0.000000,0.312159
0.010000,5.332264,14.413012,3.854677,7.594502,7.482268,-0.000000,0.309021
0.010000,5.405008,14.436098,3.930996,7.669325,7.482268,0.000000,0.305516
0.010000,5.478551,14.459137,4.008064,7.744147,7.482268,-0.000000,0.301625
0.010000,5.552903,14.482097,4.085879,7.818970,7.482268,0.000000,0.297325
0.010000,5.628073,14.504938,4.164443,7.893793,7.482268,0.000000,0.292594
0.010000,5.704072,14.527620,4.243755,7.968615,7.482268,-0.000000,0.287406
0.010000,5.780911,14.550099,4.323816,8.043438,7.482268,0.000000,0.281734
0.010000,5.858602,14.572328,4.404624,8.118261,7.482268,-0.000000,0.275546
0.010000,5.937156,14.594257,4.486181,8.193083,7.482268,0.000000,0.268809
0.010000,6.016584,14.615829,4.568486,8.267906,7.482268,0.000000,0.261487
0.010000,6.096897,14.636984,4.651539,8.342729,7.482268,-0.000000,0.253539
0.010000,6.178107,14.657658,4.735340,8.417551,7.482268,0.000000,0.244921
0.010000,6.260228,14.677781,4.819890,8.492374,7.482268,0.000000,0.235583
0.010000,6.343268,14.697276,4.905188,8.567197,7.482268,-0.000000,0.225471
0.010000,6.427237,14.716059,4.991234,8.642019,7.482268,0.000000,0.214527
0.010000,6.512149,14.734039,5.078028,8.716842,7.482268,0.000000,0.202684
0.010000,6.598009,14.751118,5.165571,8.791665,7.482268,-0.000000,0.189870
0.010000,6.684824,14.767187,5.253861,8.866487,7.482268,0.000000,0.176005
0.010000,6.772601,14.782127,5.342900,8.941310,7.482268,0.000000,0.161002
0.010000,6.861338,14.795809,5.432688,9.016133,7.482268,0.000000,0.144765
0.010000,6.951036,14.808091,5.523223,9.090955,7.482268,-0.000000,0.127188
0.010000,7.041686,14.818818,5.614507,9.165778,7.482268,0.000000,0.108156
0.010000,7.133275,14.827820,5.706539,9.240601,7.482268,0.000000,0.087543
0.010000,7.225781,14.834912,5.799319,9.315423,7.482268,0.000000,0.065216
0.010000,7.319081,14.839887,5.892754,9.371540,5.611701,-187.056696,0.041054
0.010000,7.412943,14.842532,5.986656,9.408952,3.741134,-187.056696,0.014968
0.010000,7.507123,14.842634,6.080839,9.427657,1.870567,-187.056696,6.270060
0.010000,7.601314,14.839994,6.175070,9.418477,-0.918063,-278.862984,6.239913
0.010000,7.695190,14.834430,6.269115,9.390591,-2.788630,-187.056696,6.207694
0.010000,7.788458,14.825783,6.362788,9.343999,-4.659197,-187.056696,6.173407
0.010000,7.880807,14.813921,6.455902,9.278701,-6.529764,-187.056696,6.137097
0.010000,7.971959,14.798740,6.548314,9.203878,-7.482268,-95.250407,6.098841
0.010000,8.061712,14.780151,6.639979,9.129056,-7.482268,0.000000,6.058730
0.010000,8.149902,14.758082,6.730896,9.054233,-7.482268,0.000000,6.016883
0.010000,8.236354,14.732485,6.821064,8.979410,-7.482268,-0.000000,5.973469
0.010000,8.320885,14.703346,6.910484,8.904588,-7.482268,0.000000,5.928710
0.010000,8.403312,14.670682,6.999155,8.829765,-7.482268,0.000000,5.882876
0.010000,8.483460,14.634551,7.087079,8.754942,-7.482268,0.000000,5.836280
0.010000,8.561161,14.595047,7.174254,8.680120,-7.482268,-0.000000,5.789266
0.010000,8.636267,14.552300,7.260681,8.605297,-7.482268,0.000000,5.742194
0.010000,8.708651,14.506475,7.346360,8.530474,-7.482268,0.000000,5.695424
0.010000,8.778216,14.457766,7.431291,8.455651,-7.482268,0.000000,5.649300
0.010000,8.844893,14.406388,7.515473,8.380829,-7.482268,-0.000000,5.604138
0.010000,8.908642,14.352574,7.598907,8.306006,-7.482268,0.000000,5.560208
0.010000,8.969459,14.296560,7.681593,8.231183,-7.482268,0.000000,5.517734
0.010000,9.027358,14.238593,7.763531,8.156361,-7.482268,0.000000,5.476890
0.010000,9.082388,14.178907,7.844721,8.081538,-7.482268,-0.000000,5.437793
0.010000,9.134614,14.117731,7.925162,8.006715,-7.482268,0.000000,5.400518
0.010000,9.184120,14.055281,8.004855,7.931893,-7.482268,-0.000000,5.365095
0.010000,9.230994,13.991768,8.083800,7.857070,-7.482268,0.000000,5.331525
0.010000,9.275348,13.927371,8.161996,7.782247,-7.482268,-0.000000,5.299774
0.010000,9.317288,13.862265,8.239445,7.707425,-7.482268,0.000000,5.269792
0.010000,9.356927,13.796607,8.316145,7.632602,-7.482268,0.000000,5.241511
0.010000,9.394381,13.730532,8.392097,7.557779,-7.482268,0.000000,5.214853
0.010000,9.429758,13.664174,8.467300,7.482957,-7.482268,-0.000000,5.189738
0.010000,9.463173,13.597639,8.541756,7.408134,-7.482268,0.000000,5.166075
0.010000,9.494731,13.531031,8.615463,7.333311,-7.482268,0.000000,5.143781
0.010000,9.524533,13.464439,8.688422,7.258489,-7.482268,-0.000000,5.122769
0.010000,9.552679,13.397940,8.760633,7.183666,-7.482268,0.000000,5.102956
0.010000,9.579262,13.331607,8.832095,7.108843,-7.482268,0.000000,5.084264
0.010000,9.604370,13.265500,8.902810,7.034021,-7.482268,-0.000000,5.066616
0.010000,9.628085,13.199679,8.972776,6.959198,-7.482268,0.000000,5.049944
0.010000,9.650489,13.134189,9.041994,6.884375,-7.482268,-0.000000,5.034180
0.010000,9.671655,13.069073,9.110463,6.809553,-7.482268,0.000000,5.019261
0.010000,9.691654,13.004368,9.178185,6.734730,-7.482268,0.000000,5.005132
0.010000,9.710546,12.940121,9.245158,6.659907,-7.482268,0.000000,4.991740
0.010000,9.728399,12.876346,9.311383,6.585085,-7.482268,-0.000000,4.979033
0.010000,9.745268,12.813083,9.376860,6.510262,-7.482268,0.000000,4.966968
0.010000,9.761207,12.750345,9.441588,6.435439,-7.482268,0.000000,4.955501
0.010000,9.776269,12.688160,9.505568,6.360616,-7.482268,0.000000,4.944594
0.010000,9.790498,12.626550,9.568800,6.285794,-7.482268,-0.000000,4.934211
0.010000,9.803941,12.565530,9.631284,6.210971,-7.482268,0.000000,4.924319
0.010000,9.816640,12.505119,9.693020,6.136148,-7.482268,0.000000,4.914887
0.010000,9.828635,12.445326,9.754007,6.061326,-7.482268,-0.000000,4.905888
0.010000,9.839963,12.386159,9.814246,5.986503,-7.482268,0.000000,4.897293
0.010000,9.850659,12.327639,9.873737,5.911680,-7.482268,0.000000,4.889080
0.010000,9.860756,12.269770,9.932480,5.836858,-7.482268,-0.000000,4.881226
0.010000,9.870285,12.212566,9.990474,5.762035,-7.482268,0.000000,4.873710
0.010000,9.879276,12.156026,10.047721,5.687212,-7.482268,0.000000,4.866513
0.010000,9.887756,12.100168,10.104219,5.612390,-7.482268,-0.000000,4.859618
0.010000,9.895751,12.044997,10.159968,5.537567,-7.482268,0.000000,4.853008
0.010000,9.903286,11.990516,10.214970,5.462744,-7.482268,-0.000000,4.846667
0.010000,9.910385,11.936729,10.269223,5.387922,-7.482268,0.000000,4.840581
0.010000,9.917069,11.883642,10.322728,5.313099,-7.482268,0.000000,4.834737
0.010000,9.923360,11.831258,10.375485,5.238276,-7.482268,0.000000,4.829122
0.010000,9.929278,11.779590,10.427494,5.163454,-7.482268,-0.000000,4.823725
0.010000,9.934840,11.728636,10.478754,5.088631,-7.482268,0.000000,4.818536
0.010000,9.940066,11.678392,10.529267,5.013808,-7.482268,0.000000,4.813542
0.010000,9.944971,11.628871,10.579031,4.938986,-7.482268,0.000000,4.808737
0.010000,9.949573,11.580073,10.628046,4.864163,-7.482268,-0.000000,4.804111
0.010000,9.953887,11.531997,10.676314,4.789340,-7.482268,0.000000,4.799655
0.010000,9.957927,11.484649,10.723833,4.714518,-7.482268,0.000000,4.795361
