dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.620627,12.458955,0.000094,0.018706,1.870567,187.056696,6.280272
0.010000,1.620740,12.458955,0.000206,0.011257,-0.744861,-261.542785,6.280384
0.010000,1.620993,12.458954,0.000459,0.025319,1.406171,215.103164,6.280637
0.010000,1.621443,12.458953,0.000909,0.044978,1.965950,55.977934,6.281087
0.010000,1.622117,12.458952,0.001583,0.067389,2.241027,27.507719,6.281761
0.010000,1.623014,12.458951,0.002480,0.089704,2.231574,-0.945330,6.282658
0.010000,1.626111,12.458952,0.005577,0.309741,22.003653,1977.207901,0.000591
0.010000,1.631938,12.458959,0.011405,0.582744,27.300322,529.666924,0.001930
0.010000,1.638732,12.458977,0.018199,0.679409,9.666471,-1763.385097,0.003486
0.010000,1.646489,12.459011,0.025955,0.775656,9.624731,-4.174031,0.005257
0.010000,1.655205,12.459066,0.034671,0.871594,9.593745,-3.098631,0.007239
0.010000,1.664878,12.459146,0.044345,0.967388,9.579499,-1.424572,0.009430
0.010000,1.675505,12.459259,0.054973,1.062735,9.534624,-4.487459,0.011827
0.010000,1.687080,12.459411,0.066549,1.157616,9.488175,-4.644970,0.014424
0.010000,1.699599,12.459609,0.079069,1.252031,9.441446,-4.672876,0.017217
0.010000,1.713057,12.459861,0.092530,1.346046,9.401504,-3.994177,0.020203
0.010000,1.727449,12.460175,0.106925,1.439504,9.345813,-5.569100,0.023375
0.010000,1.742769,12.460559,0.122250,1.532519,9.301439,-4.437401,0.026729
0.010000,1.759013,12.461022,0.138500,1.625055,9.253694,-4.774518,0.030260
0.010000,1.776175,12.461573,0.155671,1.717085,9.202979,-5.071522,0.033961
0.010000,1.794244,12.462222,0.173751,1.808024,9.093889,-10.909016,0.037826
0.010000,1.813219,12.462978,0.192742,1.899010,9.098638,0.474958,0.041851
0.010000,1.833087,12.463852,0.212629,1.988711,8.970051,-12.858719,0.046026
0.010000,1.853845,12.464853,0.233412,2.078298,8.958697,-1.135381,0.050348
0.010000,1.875484,12.465992,0.255081,2.166887,8.858868,-9.982868,0.054807
0.010000,1.897995,12.467279,0.277628,2.254733,8.784616,-7.425239,0.059398
0.010000,1.921371,12.468724,0.301048,2.342044,8.731092,-5.352427,0.064113
0.010000,1.945603,12.470339,0.325334,2.428578,8.653455,-7.763719,0.068945
0.010000,1.970682,12.472133,0.350478,2.514349,8.577036,-7.641814,0.073886
0.010000,1.996600,12.474118,0.376471,2.599368,8.501969,-7.506702,0.078930
0.010000,2.023347,12.476302,0.403308,2.683652,8.428375,-7.359451,0.084067
0.010000,2.050916,12.478698,0.430980,2.767216,8.356363,-7.201179,0.089292
0.010000,2.079295,12.481315,0.459479,2.849928,8.271264,-8.509890,0.094596
0.010000,2.108473,12.484163,0.488797,2.931739,8.181090,-9.017383,0.099971
0.010000,2.138446,12.487252,0.518928,3.013149,8.140936,-4.015391,0.105411
